GCA_002097925.1	CISM_655665.0
GCA_002097975.1	CISM_655630.3
GCA_002097985.1	CISM_511
GCA_002097995.1	CISM_655664.3
GCA_002098005.1	CISM_510
GCA_002098055.1	CISM_420
GCA_002098065.1	CISM_505
GCA_002098075.1	CISM_399
GCA_002098085.1	CISM_398
GCA_002098135.1	CISM_382
GCA_002098145.1	CISM_375
GCA_002098155.1	CISM_374
GCA_002098195.1	CISM_347
GCA_002098215.1	CISM_326
GCA_002098225.1	CISM_302015
GCA_002098235.1	CISM_302029
GCA_002098255.1	CISM_300215
GCA_002098295.1	CISM_300043
GCA_002098305.1	CISM_296
GCA_002098335.1	CISM_300209
GCA_002098345.1	CISM_300208
GCA_002098355.1	CISM_196
GCA_002098365.1	CISM_191
GCA_002098415.1	CISM_188
GCA_002098425.1	CISM_189
GCA_002098435.1	CISM_179
GCA_002098445.1	CISM_178
GCA_002098495.1	CISM_152
GCA_002098515.1	CISM_154
GCA_002098525.1	CISM_151
GCA_002098535.1	CISM_153
GCA_002098555.1	CISM_147
GCA_002098595.1	CISM_146
GCA_002098605.1	CISM_122
GCA_002098625.1	CISM_134
GCA_002098655.1	CISM_121
GCA_002098675.1	CISM_120
GCA_002098695.1	CISM_105
GCA_002098705.1	CISM_1020234.0
GCA_002098715.1	CISM_1020231.9
GCA_002098755.1	CISM_1020229.6
GCA_002098765.1	CISM_101
GCA_002098795.1	CISM_1019829.2
GCA_002098805.1	CISM_1019828.5
GCA_002098835.1	CISM_100
GCA_002098845.1	CISM_091
GCA_002098875.1	CISM_0079
GCA_002098885.1	CISM_0091
GCA_002098915.1	CISM_0074
GCA_002098935.1	CISM_0035
GCA_002098955.1	CISM_0034
GCA_002098965.1	CISM_0019
GCA_002098995.1	CISM_0018
GCA_002099015.1	CISM_0017
GCA_002099035.1	CISM_0016
GCA_002099055.1	CISM_0015
GCA_002099065.1	CISM_0014
GCA_002099095.1	CISM_0010
GCA_002099115.1	CISM_0008
GCA_002099125.1	CISM_0005
GCA_002102575.1	G_33
GCA_002114205.1	617
GCA_002194155.1	FC1877
GCA_002194165.1	FC3611a
GCA_002194185.1	FC3611b
GCA_002194215.1	FC2273
GCA_002194235.1	FC2271
GCA_002194245.1	FC1384
GCA_002194265.1	FC1341
GCA_002194295.1	FC1105
GCA_002194305.1	FC1817
GCA_002194335.1	FC1225
GCA_002196055.1	P-18748
GCA_002196065.1	P-18778
GCA_002196095.1	102
GCA_002196105.1	147
GCA_002196135.1	89
GCA_002196155.1	155
GCA_002196165.1	5
GCA_002196175.1	28
GCA_002196185.1	223
GCA_002196225.1	114
GCA_002196255.1	85
GCA_002196275.1	M1344
GCA_002196295.1	2403
GCA_002196305.1	433
GCA_002196325.1	M1509
GCA_002196335.1	M1030
GCA_002196375.1	M1337
GCA_002196395.1	34Kayum
GCA_002204075.1	39
GCA_002204085.1	866
